Time Apple Generated,Time Of Click,Apple Type,Location,Apple's Speed,Reaction Time,Error Type
1437064591.522006,,good,Pot,5,,
1437064594.393711,1437064596.5434,bad,Bin,,,
1437064596.90984,1437064597.509412,bad,Bin,,,
1437064597.884421,1437064598.356237,bad,Bin,,,
1437064598.740875,1437064599.152122,bad,Bin,,,
1437064599.554287,1437064599.986439,bad,Bin,,,
1437064600.384733,1437064600.783904,bad,Bin,,,
1437064601.161198,1437064601.533176,bad,Bin,,,
1437064601.928564,1437064602.362138,bad,Bin,,,
1437064602.758447,1437064603.224622,bad,Bin,,,
1437064603.590157,,good,Pot,18.564650000000004,,
1437064604.587029,1437064604.951569,bad,Bin,,,
1437064605.337063,1437064605.739506,bad,Bin,,,
1437064606.108573,,good,Pot,18.564650000000004,,
1437064606.834525,1437064607.233684,bad,Bin,,,
1437064607.580356,1437064607.973555,good,Bin,,,
1437064608.300606,1437064608.825719,bad,Bin,,,
1437064609.223794,,good,Pot,18.564650000000004,,
1437064610.131456,1437064610.529808,bad,Bin,,,
1437064610.897408,,good,Pot,18.564650000000004,,
1437064611.891612,,good,Pot,18.564650000000004,,
1437064613.153538,1437064613.555469,bad,Bin,,,
1437064613.950919,1437064614.462672,bad,Bin,,,
1437064614.860541,,good,Pot,18.564650000000004,,
1437064615.609526,1437064615.982284,bad,Bin,,,
1437064616.354651,,good,Pot,18.564650000000004,,
1437064617.098261,1437064617.420908,bad,Bin,,,
1437064617.782165,1437064618.218313,bad,Bin,,,
1437064618.551961,,good,Pot,18.564650000000004,,
1437064619.438222,,good,Pot,18.564650000000004,,
1437064620.46186,,good,Pot,18.564650000000004,,
1437064621.721019,1437064622.154571,bad,Bin,,,
1437064622.554524,1437064622.984953,bad,Bin,,,
1437064623.361644,1437064623.711156,bad,Bin,,,
1437064624.059217,,good,Pot,18.564650000000004,,
1437064624.843593,,good,Pot,18.564650000000004,,
1437064625.85149,1437064626.226347,bad,Bin,,,
1437064626.576924,,good,Pot,18.564650000000004,,
1437064627.323149,,good,Pot,18.564650000000004,,
1437064628.271132,1437064628.542958,bad,Bin,,,
1437064628.939889,1437064629.439454,bad,Bin,,,
1437064629.83666,1437064630.172897,bad,Bin,,,
1437064630.572249,,good,Pot,18.564650000000004,,
1437064631.437815,1437064631.800889,bad,Bin,,,
1437064632.165835,1437064632.532578,bad,Bin,,,
1437064632.929341,,good,Pot,18.564650000000004,,
1437064633.893339,1437064634.291542,bad,Bin,,,
1437064634.689755,1437064635.056395,bad,Bin,,,
1437064635.452891,1437064635.853795,bad,Bin,,,
1437064636.190069,,good,Pot,18.564650000000004,,
1437064636.938446,1437064637.25951,bad,Bin,,,
1437064637.633654,1437064637.957164,bad,Bin,,,
1437064638.307434,1437064638.631197,good,Bin,,,
1437064639.005955,1437064639.490327,bad,Bin,,,
1437064639.88743,1437064640.325209,bad,Bin,,,
1437064640.675428,,good,Pot,18.564650000000004,,
1437064641.510986,1437064641.888234,bad,Bin,,,
1437064642.285033,1437064642.668298,bad,Bin,,,
1437064643.018656,,good,Pot,18.564650000000004,,
1437064643.779945,1437064644.080061,bad,Bin,,,
1437064644.427402,,good,Pot,18.564650000000004,,
1437064645.332685,1437064645.831983,good,Bin,,,
1437064646.196598,1437064646.66287,bad,Bin,,,
1437064647.059559,,good,Pot,18.564650000000004,,
1437064648.024207,1437064648.424615,bad,Bin,,,
1437064648.789449,,good,Pot,18.564650000000004,,
1437064649.705855,1437064650.154998,bad,Bin,,,
1437064650.524016,,good,Pot,18.564650000000004,,
1437064651.039338,1437064651.292825,bad,Bin,,,
